Site_ID,Location_ID,Country,Sample_ID,Date,Laboratory,Contact_name,Contact_email,Paper_code,"Latitude, WGS 84","Longitude, WGS 84",Soil_type,Veg_type,Sample_location,PW_soil_descrip,Cathcment_size,Wetland_cover,Depth_sample,THg,THg_err,DHg,DHg_err,Filter_Size,MeHg,MeHg_err,TOC,TOC_err,DOC,DOC_err,RHgC,Turbidity,pH,EC,Alk,P,Cl,SO4,TDS,Notes,Collector,Range Flag,Outlier Flag,,
Hudson_Bay_Lowlands,Ontario,Canada,AQT,2010,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,54.353278,-84.574944,NA,Boreal wetland,lake,NA,NA,NA,NA,0.87,0.18,NA,NA,NA,0.025,0.0048,NA,NA,7.6,NA,0.114473684,NA,8.1,NA,97.8,13.8,NA,NA,NA,NA,NA,1,0,Q1,1.5
Hudson_Bay_Lowlands,Ontario,Canada,BLB,NA,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,55,-84,NA,Boreal wetland,lake,NA,NA,NA,NA,2.7,0.18,NA,NA,NA,0.021,0.0042,NA,NA,9,NA,0.3,NA,7.8,NA,71.5,28.8,NA,NA,NA,NA,NA,0,0,Q3,5.9175
Hudson_Bay_Lowlands,Ontario,Canada,CSE,NA,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,54.5,-84,NA,Boreal wetland,lake,NA,NA,NA,NA,0.95,0.061,NA,NA,NA,0.041,0.0024,NA,NA,10.4,NA,0.091346154,NA,8.1,NA,90.3,4.4,NA,NA,NA,NA,NA,1,0,IQR,4.4175
Hudson_Bay_Lowlands,Ontario,Canada,HWL,2009,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,54.527417,-84.617958,NA,Boreal wetland,lake,NA,NA,NA,NA,1.1,0.078,NA,NA,NA,0.056,0.013,NA,NA,6.3,NA,0.174603175,NA,8.1,NA,105.3,6.8,NA,NA,NA,NA,NA,0,0,Lower,-11.7525
Hudson_Bay_Lowlands,Ontario,Canada,JLN,2010,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,55,-84,NA,Boreal wetland,lake,NA,NA,NA,NA,0.93,0.056,NA,NA,NA,0.02,0.017,NA,NA,7.5,NA,0.124,NA,8,NA,90.7,14.8,NA,NA,NA,NA,NA,1,0,Upper,19.17
Hudson_Bay_Lowlands,Ontario,Canada,KSO,2009,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,54.2615,-84.184035,NA,Boreal wetland,lake,NA,NA,NA,NA,1.3,0.15,NA,NA,NA,0.02,0.02,NA,NA,7,NA,0.185714286,NA,7.7,NA,38.9,9.1,NA,NA,NA,NA,NA,0,0,,
Hudson_Bay_Lowlands,Ontario,Canada,NRT,NA,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,54.534444,-84.756,NA,Boreal wetland,lake,NA,NA,NA,NA,1.9,0.45,NA,NA,NA,0.052,0.029,NA,NA,6.8,NA,0.279411765,NA,7.9,NA,80,6.4,NA,NA,NA,NA,NA,0,0,,
Hudson_Bay_Lowlands,Ontario,Canada,OPE,NA,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,53.913852,-84.135091,NA,Boreal wetland,lake,NA,NA,NA,NA,1.7,0.33,NA,NA,NA,0.04,0.0053,NA,NA,8.8,NA,0.193181818,NA,7.8,NA,52.4,16.4,NA,NA,NA,NA,NA,0,0,,
Hudson_Bay_Lowlands,Ontario,Canada,RFT,2009,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,54.455828,-84.780189,NA,Boreal wetland,lake,NA,NA,NA,NA,1.7,0.036,NA,NA,NA,0.056,0.058,NA,NA,10.4,NA,0.163461538,NA,7.9,NA,76.4,7,NA,NA,NA,NA,NA,0,0,,
Hudson_Bay_Lowlands,Ontario,Canada,SAM,NA,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,54.76,-84.6,NA,Boreal wetland,lake,NA,NA,NA,NA,0.66,0.11,NA,NA,NA,0.031,0.0062,NA,NA,6.7,NA,0.098507463,NA,8.2,NA,82.4,8,NA,NA,NA,NA,NA,1,0,,
